taskId	retainerJob	retainerLevel	itemId	qty
1	HUNT	1	5291	10
2	HUNT	2	5318	10
3	HUNT	3	4794	10
4	HUNT	4	4850	10
5	HUNT	5	5434	10
6	HUNT	6	5492	10
7	HUNT	7	4758	10
8	HUNT	8	5292	10
9	HUNT	9	4759	10
10	HUNT	10	5442	10
11	HUNT	10	5548	10
12	HUNT	10	5319	10
13	HUNT	11	4760	10
14	HUNT	11	5556	10
15	HUNT	12	4761	10
16	HUNT	12	5550	10
17	HUNT	13	5495	10
18	HUNT	14	4773	10
19	HUNT	14	5551	10
20	HUNT	15	5435	10
21	HUNT	15	5446	10
22	HUNT	15	5454	10
23	HUNT	16	5552	10
24	HUNT	17	5557	10
25	HUNT	18	5296	10
26	HUNT	19	5355	10
27	HUNT	20	5456	10
28	HUNT	21	4765	10
29	HUNT	22	4771	10
30	HUNT	23	5496	10
31	HUNT	24	5345	10
32	HUNT	25	5436	10
33	HUNT	25	5493	10
34	HUNT	25	5444	10
35	HUNT	25	5499	10
36	HUNT	25	4766	10
37	HUNT	25	5320	10
38	HUNT	26	5300	10
39	HUNT	26	5528	10
40	HUNT	27	4774	10
41	HUNT	28	6149	10
42	HUNT	28	4770	10
43	HUNT	29	5455	10
44	HUNT	29	5468	10
45	HUNT	30	5447	10
46	HUNT	30	5549	10
47	HUNT	30	5554	10
48	HUNT	31	5497	10
49	HUNT	32	4767	10
50	HUNT	32	5321	10
51	HUNT	33	5303	10
52	HUNT	34	5306	10
53	HUNT	35	5347	10
54	HUNT	36	5494	10
55	HUNT	37	5308	10
56	HUNT	38	5526	10
57	HUNT	39	5322	10
58	HUNT	40	5555	10
59	HUNT	41	5558	10
60	HUNT	42	5263	10
61	HUNT	43	4768	10
62	HUNT	44	4775	10
63	HUNT	45	5348	10
64	HUNT	46	5553	10
65	HUNT	47	4769	10
66	HUNT	48	5310	10
67	HUNT	49	5349	10
68	HUNT	49	5439	10
69	MIN	2	5106	30
70	MIN	1	2	60
71	MIN	1	3	60
